cluster,gene,logFC,pval_adj,pubmed_count,chembl_max_phase,literature_score,chembl_score,logfc_norm,priority_score
1,OAZ1,2.249722957611084,6.839323602451057e-258,0,0,0.16969319652871695,0.0,0.12370664651073335,0.0866711094304219
2,NKG7,7.204009056091309,3.177529251793591e-213,2,0,0.7168328495150414,0.0,0.5262294312609185,0.3679521796327902
2,CCL5,5.40235710144043,5.203921786592047e-144,38,0,0.9988923156711998,0.0,0.3798499231902905,0.33601388212554717
2,GZMB,6.247487545013428,1.3096193809298126e-64,2,0,0.7168328495150414,0.0,0.4485145608115448,0.3290947444081034
2,PRF1,5.67655611038208,5.653002369821403e-94,2,0,0.7168328495150414,0.0,0.4021278753434355,0.3059014016740487
2,GZMA,6.1435160636901855,2.045883719265545e-161,1,0,0.5,0.0,0.4400671499505387,0.29315903516676073
2,CST7,6.385860443115234,2.8438330227666137e-168,0,0,0.16969319652871695,0.0,0.4597569967893497,0.2546962845697301
2,GNLY,5.360198497772217,8.199004592259574e-59,0,0,0.16969319652871695,0.0,0.37642464693203925,0.21303010964107486
2,CTSW,4.710077285766602,4.852026245937264e-157,0,0,0.16969319652871695,0.0,0.32360399921814537,0.1866197857841279
2,GZMM,3.5005877017974854,3.371418517882067e-79,1,0,0.5,0.0,0.22533613462814187,0.1857935275055623
2,HLA-A,1.2781391143798828,5.310554659655253e-109,12,0,0.9864505442641223,0.0,0.04476800097799365,0.16665330049991897
2,HLA-C,1.3574694395065308,1.1723745080912172e-142,4,0,0.8908022159610753,0.0,0.051213382360976646,0.15588733514399616
2,B2M,0.9804617762565613,1.5349096883642294e-150,19,0,0.9949059146467499,0.0,0.020582495999753016,0.15579715371143696
2,HLA-B,1.0594176054000854,2.3772264848214e-77,5,0,0.9252979682237011,0.0,0.026997450563814314,0.14882440476312736
2,HCST,2.0236895084381104,5.3686121825713735e-64,1,0,0.5,0.0,0.10534202008439417,0.12579647023368845
2,PTPRCAP,2.0475034713745117,6.002692470549014e-75,0,0,0.16969319652871695,0.0,0.10727684227402073,0.0784562073120656
3,MS4A1,6.3867645263671875,3.2999494951868734e-135,1,4,0.5,1.0,0.45983045118842725,0.6567897654027223
3,CD74,4.084945201873779,4.9052320993463075e-179,11,4,0.9837680993737202,1.0,0.2728136527901474,0.6340328959889152
3,CD79B,5.509765148162842,3.842321166277936e-150,1,4,0.5,1.0,0.388576545999689,0.6211628128083532
3,HLA-DRB1,3.8997838497161865,2.0147452275840384e-127,9,3,0.9755593876345374,0.8369472816520497,0.25776977732210626,0.5676306775632404
3,CD79A,7.71870756149292,5.180270032819123e-166,5,0,0.9252979682237011,0.0,0.5680473383383011,0.41934934865037077
3,RPL18A,0.7271305918693542,8.799871468580303e-64,0,4,0.16969319652871695,1.0,0.0,0.3785668657920725
3,TCL1A,6.900836944580078,1.7869356361115607e-71,2,0,0.7168328495150414,0.0,0.5015974903196133,0.3556362091621376
3,HLA-DQA1,5.364020347595215,3.3259053814665937e-137,3,0,0.8303068034712832,0.0,0.37673516223193726,0.30980071532389614
3,HLA-DQB1,4.959158897399902,1.1597590653895457e-125,5,0,0.9252979682237011,0.0,0.34384122854881655,0.3072462937556285
3,HLA-DRB5,3.3011302947998047,5.415889252833427e-85,0,2,0.16969319652871695,0.41569598164681415,0.20913074210380098,0.27643522813500876
3,HLA-DPB1,4.063584327697754,3.0474455326619643e-144,3,0,0.8303068034712832,0.0,0.2710781376448534,0.25697220303035423
3,CD37,2.482917308807373,1.913179743070598e-125,0,2,0.16969319652871695,0.41569598164681415,0.14265307749305736,0.24319639582963692
3,HLA-DRA,4.887674331665039,6.503433064103359e-163,1,0,0.5,0.0,0.33803329459137277,0.24214210748717774
3,HLA-DPA1,3.7027456760406494,2.7569550635795425e-121,0,0,0.16969319652871695,0.0,0.24176094117630964,0.14569825676321005
3,HLA-DMA,3.1240170001983643,6.732448589343865e-59,0,0,0.16969319652871695,0.0,0.1947407502579281,0.12218816130401929
4,CD74,3.6391494274139404,1.344489147662796e-15,11,4,0.9837680993737202,1.0,0.23659391234752628,0.6159230257676047
4,HLA-DRB1,4.237393379211426,6.39450980963484e-16,9,3,0.9755593876345374,0.8369472816520497,0.285199668383971,0.5813456230941727
4,FCER1A,8.774559020996094,2.070568555326394e-14,0,0,0.16969319652871695,0.0,0.6538325072432901,0.35173403979670026
4,CST3,4.912788391113281,1.567946218754751e-15,5,0,0.9252979682237011,0.0,0.340073746221445,0.30536255259194267
4,HLA-DRB5,3.888589859008789,3.9725367815826865e-14,0,2,0.16969319652871695,0.41569598164681415,0.2568602948613756,0.30030000451379607
4,HLA-DQA1,4.825891494750977,1.344489147662796e-15,3,0,0.8303068034712832,0.0,0.33301360072023284,0.28793993456804395
4,CLEC10A,6.929531097412109,1.520295365559836e-09,0,0,0.16969319652871695,0.0,0.5039288151713492,0.2767821937607298
4,HLA-DPB1,4.4348464012146,5.205738240689619e-17,3,0,0.8303068034712832,0.0,0.30124220987111644,0.27205423914348575
4,HLA-DQB1,4.084104061126709,2.6467167723410934e-12,5,0,0.9252979682237011,0.0,0.27274531230492965,0.27169833563368506
4,HLA-DRA,4.60854959487915,5.973671842895242e-16,1,0,0.5,0.0,0.3153551399369244,0.23080303015995357
4,LYZ,4.25775146484375,6.112374117483112e-10,1,0,0.5,0.0,0.28685370958345274,0.21655231498321775
4,HLA-DPA1,4.278314590454102,5.205738240689619e-17,0,0,0.16969319652871695,0.0,0.2885244097447506,0.16907999104743052
4,HLA-DQA2,4.1760101318359375,3.008694340080968e-10,0,0,0.16969319652871695,0.0,0.28021244011748664,0.16492400623379855
4,HLA-DMA,3.505625009536743,2.3208372158003404e-12,0,0,0.16969319652871695,0.0,0.22574540270401494,0.1376904875270627
4,LSP1,2.206800937652588,5.184969481546363e-10,1,0,0.5,0.0,0.12021934467604585,0.1332351325295143
5,PF4,12.905740737915039,7.725968615950534e-07,22,0,0.9962963389222494,0.0,0.9894802142889881,0.6404493636860692
5,SPARC,10.895901679992676,7.725968615950534e-07,16,0,0.9926251926515045,0.0,0.8261860487092554,0.5582653723752458
5,PPBP,13.035219192504883,7.725968615950534e-07,0,0,0.16969319652871695,0.0,0.9999999999999187,0.5248177861750146
5,GP9,12.91039752960205,3.5570382720256976e-06,0,0,0.16969319652871695,0.0,0.9898585664310723,0.5197470693905913
5,GNG11,12.428449630737305,7.725968615950534e-07,0,0,0.16969319652871695,0.0,0.9507015604569828,0.5001685664035467
5,SDPR,11.863665580749512,7.725968615950534e-07,0,0,0.16969319652871695,0.0,0.9048143339091836,0.477224953129647
5,GPX1,6.478824138641357,7.725968615950534e-07,14,0,0.9902004426638907,0.0,0.4673100538514605,0.3784727530289612
5,NRGN,9.09290885925293,7.725968615950534e-07,0,0,0.16969319652871695,0.0,0.6796975987767043,0.36466658556340736
5,RGS18,8.606297492980957,7.725968615950534e-07,0,0,0.16969319652871695,0.0,0.6401616982757276,0.344898635312919
5,TPM4,6.943187236785889,7.725968615950534e-07,0,0,0.16969319652871695,0.0,0.505038340770074,0.2773369565600922
5,CALM3,4.917319297790527,7.725968615950534e-07,2,0,0.7168328495150414,0.0,0.34044187053580943,0.2750583992702357
5,RGS10,5.009801387786865,9.992881560052564e-07,0,0,0.16969319652871695,0.0,0.3479557984085382,0.19879568537932432
5,TAGLN2,4.831951141357422,9.992881560052564e-07,0,0,0.16969319652871695,0.0,0.3335059311545565,0.19157075175233348
5,MYL6,2.8499062061309814,2.1088760580741285e-06,1,0,0.5,0.0,0.17246996533254116,0.15936044285776196
5,OAZ1,3.218449592590332,2.3213545920126877e-06,0,0,0.16969319652871695,0.0,0.20241315134765409,0.12602436184888227
